16,"TECNICAS DE CONSERVACAO E USO EFICIENTE DE ENERGIA"
16,"SISTEMAS DE TRANSMISSAO E DISTRIBUICAO DE ENERGIA ELETRICA"
16,"SAÚDE NA PRATICA COMUNITARIA II"
16,"SAÚDE NA PRATICA COMUNITARIA I"
16,"SANEAMENTO AMBIENTAL"
16,"QUIMICA ORGANICA II (1200553)"
16,"QUIMICA ORGANICA II"
16,"QUIMICA BASICA (1200747)"
16,"PRODUCAO DE HORTALICAS II"
16,"PRATICA DE ENSINO V: ENSINO-APRENDIZAGEM DE COMPUTACAO"
16,"PARASITOLOGIA E MICROBIOLOGIA MOLECULAR"
16,"OPERACOES UNITARIAS I"
16,"METODOLOGIA AVANCADA PARA ADMINISTRACAO"
16,"MERCADO FINANCEIRO"
16,"MATEMATICA FINANCEIRA (1200226)"
16,"MANEJO E CONSERVACAO DA FAUNA"
16,"MANEJO DE BACIAS HIDROGRAFICAS (1200068)"
16,"LABORATORIO DE QUIMICA  BASICA (1200748)"
16,"INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS"
16,"INTRODUCAO A ENGENHARIA FLORESTAL"
16,"INTRODUCAO A BIOTECNOLOGIA (1200664)"
16,"INTELIGENCIA DE NEGOCIOS"
16,"ICTIOLOGIA (1200327)"
16,"HIDROLOGIA  E  RECURSOS  HIDRICOS (1200713)"
16,"GESTAO DE PROJETOS II"
16,"GESTAO DE PESSOAS II"
16,"GEOMORFOLOGIA  E  PEDOLOGIA (1200717)"
16,"FUNDAMENTOS DE CALCULO"
16,"FISICA I"
16,"FILOSOFIA GERAL E JURIDICA"
16,"FILOSOFIA E EDUCACAO"
16,"ENGENHARIA DO PETROLEO I"
16,"ENGENHARIA DA QUALIDADE II"
16,"ELETRICIDADE BASICA (1200341)"
16,"ELEMENTOS DE MAQUINAS II (1200409)"
16,"ECONOMIA BRASILEIRA (1200491)"
16,"ECOLOGIA MOLECULAR (1200702)"
16,"ECOLOGIA HUMANA"
16,"ECOLOGIA EVOLUTIVA (1200706)"
16,"DIREITO CONSTITUCIONAL I"
16,"CONVERSAO ELETROM. DE ENERGIA I"
16,"CONTABILIDADE INTRODUTORIA (1200623)"
16,"CONTABILIDADE DE CUSTOS"
16,"CARTOGRAFIA  AMBIENTAL (1200703)"
16,"BIOTECNOLOGIA AMBIENTAL"
16,"BIOMASSA E BIOCOMBUSTIVEIS"
16,"ANALISE DE SISTEMAS DE ENERGIA"
16,"ALGORITMOS"
16,"AGROECOLOGIA"
16,"ADMINISTRACAO FINANCEIRA II (1200490)"
15,"VIBRACOES MECANICA"
15,"TRATAMENTO DE EFLUENTES INDUSTRIAIS"
15,"TRANSFERENCIA DE CALOR E MASSA"
15,"TEORIA DA LITERATURA II"
15,"TECNOLOGIAS DIGITAIS EM ESPACOS ESCOLARES (1206162)"
15,"SUBESTACOES DE ENERGIA ELETRICA"
15,"REATORES I"
15,"PROTECAO DE SISTEMAS DE ENERGIA"
15,"PRODUCAO DE HORTALICAS I"
15,"PRATICA DE ENSINO II - POLITICAS, ESTRUTURA E GESTAO DA EDUCACAO BASICA"
15,"PERICIA CONTABIL E ARBITRAGEM"
15,"OTICA E FISICA MODERNA"
15,"OPERACOES UNITARIAS II"
15,"METODOLOGIA DA PESQUISA JURIDICA"
15,"MELHORAMENTO ANIMAL II (1200168)"
15,"MEIO AMBIENTE E SAÚDE PÚBLICA"
15,"INTRODUCAO A LOGICA (1200257)"
15,"INTRODUCAO A ENG.AGRIC.AMBIENTAL (1200318)"
15,"INTRODUCAO À COMPUTACAO E AOS SISTEMAS DE INFORMACAO"
15,"INTERACAO HOMEM-COMPUTADOR"
15,"INFORMATICA BASICA"
15,"HIDRAULICA"
15,"GESTAO DA SUSTENTABILIDADE"
15,"GESTAO DA PRODUCAO NA CONSTRUCAO CIVIL"
15,"GESTAO DA APREDIZAGEM ORGANIZACIONAL E DA INOVACAO"
15,"GEOMETRIA I"
15,"GEOMETRIA ANALITICA E ALGEBRA LINEAR"
15,"FUNDAMENTOS DE BANCO DE DADOS"
15,"ERGONOMIA"
15,"ENTOMOLOGIA FLORESTAL"
15,"ENGENHARIA DE POCO I"
15,"ECOSSISTEMAS TERRESTRES"
15,"ECOLOGIA NUMERICA"
15,"ECOLOGIA DE REGIOES SEMI-ARIDAS"
15,"ECOLOGIA DE COMUNIDADES"
15,"DESENHO DE MAQUINAS E INSTALACOES"
15,"CONTABILIDADE INTERMEDIARIA II"
15,"CLINICA MEDICA DE EQUIDEOS"
15,"BIOQUIMICA PARA BIOTECNOLOGIA (1200812)"
15,"BIOQUIMICA DE ALIMENTOS (1200679)"
15,"BIOLOGIA  DA  CONSERVACAO (1200726)"
15,"BIODIVERSIDADE DA CAATINGA"
14,"TOPICOS ESPECIAIS II"
14,"SUINOCULTURA (1107038)"
14,"SOCIOLOGIA E EDUCACAO (1206155)"
14,"REATORES II"
14,"PATOLOGIA FLORESTAL"
14,"NÚMEROS, CONJUNTOS E FUNCOES ELEMENTARES"
14,"MODELAGEM PROBABILISTICA E SIMULACAO DE SISTEMAS DE PRODUCAO"
14,"MODELAGEM E SIMULACAO DE PROCESSOS"
14,"MECANISMOS"
